lat,lon
39.7025492996974,-121.762916552734
39.7067754521376,-121.758796679688
39.7099448966023,-121.753303515625
39.7152269804814,-121.754676806641
39.7205086598958,-121.751930224609
39.7226212184083,-121.747810351563
39.7257899348316,-121.7423171875
39.7279023315488,-121.738197314453
39.7310708052749,-121.732704150391
39.7352952103856,-121.727210986328
39.7405753527074,-121.724464404297
39.7458550904979,-121.723091113281
39.7511344237432,-121.72034453125
39.7564133524295,-121.714851367188
39.7595805154473,-121.710731494141
39.7627475328159,-121.706611621094
39.7659144045323,-121.699745166016
39.7711922003801,-121.696998583984
39.7764695916165,-121.695625292969
39.7817465782278,-121.694252001953
39.7870231602003,-121.691505419922
39.7922993375201,-121.690132128906
39.7944096951423,-121.683265673828
39.791244134429,-121.67639921875
39.7933545244246,-121.670906054688
39.7986302161433,-121.666786181641
39.8039055031793,-121.662666308594
39.8091803855189,-121.659919726563
39.8144548631485,-121.661293017578
39.8186741538517,-121.661293017578
39.8186741538517,-121.6544265625
39.8165645408784,-121.648933398438
39.8112902251367,-121.651679980469
39.8060155046795,-121.651679980469
39.8007403795204,-121.653053271484
39.8007403795204,-121.646186816406
39.8060155046795,-121.644813525391
39.8070704811475,-121.639320361328
39.8060155046795,-121.633827197266
39.8112902251367,-121.63245390625
39.8091803855189,-121.626960742188
39.8070704811475,-121.621467578125
39.8049605120233,-121.615974414063
39.8091803855189,-121.613227832031
39.8144548631485,-121.613227832031
39.8176193554597,-121.607734667969
39.8176193554597,-121.600868212891
39.8207837020675,-121.594001757813
39.821838451891,-121.587135302734
39.8271119581608,-121.585762011719
39.8323850596743,-121.583015429688
39.8376577564178,-121.585762011719
39.8429300483777,-121.581642138672
39.8439844581945,-121.577522265625
39.8482019355406,-121.572029101563
39.8534734178927,-121.5665359375
39.8555818974836,-121.559669482422
39.8608528130781,-121.556922900391
39.8661233238295,-121.555549609375
39.8713934297243,-121.558296191406
39.8756092229343,-121.563789355469
39.8798247570206,-121.569282519531
39.8850938102251,-121.567909228516
39.8903624585245,-121.567909228516
39.8945770856233,-121.563789355469
39.8977378858775,-121.558296191406
39.8987914535674,-121.551429736328
39.8945770856233,-121.548683154297
39.8893087612577,-121.54456328125
39.8872013181342,-121.539070117188
39.8872013181342,-121.533576953125
39.8882550477942,-121.528083789063
39.8935234531441,-121.528083789063
39.8935234531441,-121.523963916016
39.8882550477942,-121.523963916016
39.8829862375311,-121.523963916016
39.8798247570206,-121.517097460938
39.8798247570206,-121.510231005859
39.8840400319762,-121.503364550781
39.8893087612577,-121.501991259766
39.8914161395946,-121.496498095703
39.8882550477942,-121.491004931641
39.8829862375311,-121.486885058594
39.8777170223683,-121.485511767578
39.8724474023193,-121.484138476563
39.8671773773974,-121.484138476563
39.8619069476163,-121.488258349609
39.8566361129893,-121.488258349609
39.8534734178927,-121.482765185547
39.8482019355406,-121.482765185547
39.8429300483777,-121.480018603516
39.8376577564178,-121.481391894531
39.8323850596743,-121.4786453125
39.8281666108445,-121.471778857422
39.8302758676405,-121.464912402344
39.8355487262937,-121.458045947266
39.8355487262937,-121.451179492188
39.8387122471929,-121.447059619141
39.8439844581945,-121.447059619141
39.8471475904924,-121.444313037109
39.8482019355406,-121.437446582031
39.8534734178927,-121.4347
39.8524191538078,-121.429206835938
39.8566361129893,-121.425086962891
39.8619069476163,-121.423713671875
39.8671773773974,-121.420967089844
39.86928543595,-121.414100634766
39.8713934297243,-121.408607470703
39.86928543595,-121.401741015625
39.8661233238295,-121.397621142578
39.8650692540673,-121.3907546875
39.8671773773974,-121.383888232422
39.86928543595,-121.378395068359
39.8650692540673,-121.374275195313
39.8619069476163,-121.370155322266
39.8566361129893,-121.370155322266
39.85136487353,-121.370155322266
39.8492562643963,-121.364662158203
39.8450388518193,-121.359168994141
39.8397667217765,-121.355049121094
39.8344941869449,-121.356422412109
39.8292212473377,-121.356422412109
39.8239479029688,-121.359168994141
39.8186741538517,-121.357795703125
39.8134,-121.357795703125
39.8091803855189,-121.360542285156
39.8060155046795,-121.367408740234
39.8007403795204,-121.371528613281
39.7975751101737,-121.378395068359
39.7933545244246,-121.378395068359
39.7880784280369,-121.379768359375
39.7828019269938,-121.382514941406
39.7775250213092,-121.382514941406
39.7722477109967,-121.379768359375
39.7669699960701,-121.378395068359
39.7638031729051,-121.374275195313
39.7595805154473,-121.370155322266
39.754301829503,-121.366035449219
39.7490227389914,-121.364662158203
39.7437432439263,-121.361915576172
39.7384633443217,-121.357795703125
39.7374073158572,-121.364662158203
39.7416313326284,-121.367408740234
39.746910989511,-121.370155322266
39.7521902418456,-121.375648486328
39.7500785894584,-121.381141650391
39.744799175303,-121.382514941406
39.7395193566051,-121.386634814453
39.7342391333787,-121.388008105469
39.7289585056376,-121.388008105469
39.7236774733956,-121.3907546875
39.7183960366667,-121.389381396484
39.7131141954648,-121.392127978516
39.7078319498037,-121.392127978516
