lat,lon
43.6944492182962,-65.6230411025391
43.6964350578125,-65.6202945205078
43.6964350578125,-65.6168612929687
43.6964350578125,-65.6134280654297
43.6944492182962,-65.6099948378906
43.6934562738769,-65.6072482558594
43.6934562738769,-65.6038150283203
43.6949456843406,-65.6010684462891
43.6974279529095,-65.6003818007812
43.6999101187233,-65.6003818007812
43.7023921817816,-65.5996951552734
43.7038813702937,-65.5969485732422
43.7033849782333,-65.5935153457031
43.7033849782333,-65.5900821181641
43.7033849782333,-65.586648890625
43.7058668974331,-65.5839023085937
43.7068596363413,-65.5811557265625
43.7058668974331,-65.5777224990234
43.7058668974331,-65.5742892714844
43.7058668974331,-65.5708560439453
43.7058668974331,-65.5674228164062
43.70735599963,-65.564676234375
43.7098377544193,-65.564676234375
43.7123194064514,-65.5639895888672
43.7143046540918,-65.5612430068359
43.7148009557261,-65.5578097792969
43.7143046540918,-65.5543765517578
43.7138083483471,-65.5516299697266
43.712815724527,-65.5481967421875
43.7118230842656,-65.5447635146484
43.7103340930463,-65.5420169326172
43.7088450648344,-65.5392703505859
43.7068596363413,-65.5372104140625
43.7068596363413,-65.5337771865234
43.70735599963,-65.5303439589844
43.7068596363413,-65.5269107314453
43.7068596363413,-65.5234775039062
43.7083487138765,-65.5200442763672
43.710830427563,-65.5200442763672
43.7133120384922,-65.5214175673828
43.7157935466637,-65.5214175673828
43.7182749520771,-65.520730921875
43.7202600024217,-65.5186709853516
43.7227412228696,-65.5166110488281
43.7227412228696,-65.5131778212891
43.723237454628,-65.50974459375
43.723237454628,-65.5063113662109
43.7247261252412,-65.5035647841797
43.7267109618467,-65.5015048476562
43.7277033554872,-65.4980716201172
43.7277033554872,-65.4946383925781
43.7277033554872,-65.4912051650391
43.7277033554872,-65.4877719375
43.7272071607222,-65.4843387099609
43.7257185517648,-65.4809054824219
43.7257185517648,-65.4774722548828
43.7242299058139,-65.4754123183594
43.7222449870007,-65.4726657363281
43.7202600024217,-65.4699191542969
43.7187712208288,-65.4678592177734
43.71678612116,-65.4644259902344
43.71529725325,-65.4609927626953
43.712815724527,-65.4589328261719
43.7123194064514,-65.4554995986328
43.7118230842656,-65.4520663710937
43.7098377544193,-65.4500064345703
